name,form
Application for Registration or Exemption from Registration as a National Securities Exchange,1
Offering Statement [Regulation A],1-A
Post-qualification amendment,1-A POS
Withdrawal of offering statement [Regulation A],1-A-W
Notification [Regulation E],1-E
Sales materials,1-E AD
Annual report,1-K
Semiannual report,1-SA
Current Report Pursuant to Regulation A,1-U
Exit report,1-Z
Withdrawal,1-Z-W
Registration of securities [Section 12(b)],10-12B
Registration of securities [Section 12(g)],10-12G
Change of number of shares outstanding or change of issuer name,10-C
Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934],10-D
"Annual report [Section 13 and 15(d), not S-K Item 405]",10-K
"Annual report [Sections 13 and 15(d), S-K Item 405]",10-K405
Transition reports [Rule 13a-10 or 15d-10],10-KT
Irrevocable appointment of agent by individual nonresident broker or dealer,10-M
Quarterly report [Sections 13 or 15(d)],10-Q
Transition reports [Rule 13a-10 or 15d-10],10-QT
"Optional form for annual and transition reports of small business issuers [Section 13 or 15(d), not S-B Item 405]",10KSB
Annual Report Form for Small Businesses that also have a Positive Response to Item 405,10KSB40
"Optional form for annual and transition reports of small business issuers [Section 13 or 15(d), S-B Item 405]",10KSB405
"Transition reports pursuant to Rule 13a-10 or 15d-10, Initial Filing",10KT405
Optional form for quarterly and transition reports of small business issuers,10QSB
Registration of securities for small business [Section 12(b)],10SB12B
Registration of securities for small business [Section 12(g)],10SB12G
"Annual report of employee stock purchase, savings and similar plans",11-K
Transition report [Rule 13a-10 or 15d-10],11-KT
Securities deemed to be Registered [Section 12(g)(1)],12G-2
Exemptions for American Depository Receipts and Certain Foreign Securities,12G3-2A
Exemptions for American Depository Receipts and Certain Foreign Securities,12G3-2B
Exemptions for American Depository Receipts and Certain Foreign Securities,12G32BR
Quarterly reports filed by institutional managers.,13F-E
"Quarterly report filed by institutional managers, Holdings",13F-HR
"Quarterly report filed by institutional managers, Notice",13F-NT
"Quarterly report filed by institutional managers, Holdings",13FCONP
Report of proposed sale of securities,144
Securities registration termination [Section 12(b)],15-12B
Securities registration termination [Section 12(g)],15-12G
Suspension of duty to report [Section 13 and 15(d)],15-15D
Securities registration termination of foreign private issuers [Section 12(b)],15F-12B
Securities registration termination of foreign private issuers [Section 12(g)],15F-12G
Suspension of duty to report for foreign private issuers [Section 13 and 15(d)],15F-15D
Registration of securities [Section 12(b)],18-12B
Registration of securities [Section 12(g)],18-12G
Annual report for foreign governments and political subdivisions,18-K
For Filings with Respect to Proposed Rule Changes by All Self-Regulatory Organizations,19-B
Proposed Rule Change by SRO [Rule 19b4],19B-4
Information required of an SRO Listing and Trading a New Directive Securities Product [Rule 19b-4(e)],19B-4E
Report of Sales [Regulation A],2-A
Final Report of Sales of Securities [Rule 260],2-AF
Reports of sales of securities [Regulation E]. Filed by investment companies.,2-E
Annual and transition report of foreign private issuers [Sections 13 or 15(d)],20-F
Annual and transition registration statement of foreign private issuers [Sections 13 or 15(d)],20-FR
Registration of securities [Section 12(b)],20FR12B
Registration of securities [Section 12(g)],20FR12G
Registration of securities by certain investment companies [Rule 24F-1]. Notification of election.,24F-1
Registration of securities by certain investment companies [Rule 24F-2]. Declaration of election.,24F-2EL
Rule 24f-2 notice,24F-2NT
Registration of securities by certain investment companies [Rule 24F-2]. Termination of Declaration of election.,24F-2TM
"Notification of the removal from listing and registration of matured, redeemed or retired securities",25
"Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities",25-NSE
Disclosure,253G1
*,253G2
Disclosure,253G3
Disclosure,253G4
Notification of the admission to Trading of a Substituted or additional class of security,26
Notification of changes in securities admitted to unlisted trading privileges,27
Notification of the termination or suspension of unlisted trading privileges.,28
Initial statement of beneficial ownership of securities,3
Filing [Trust Indenture Act],305B2
Application for Exemption [Section 12(g)] or from filing certain reports [Section 13(a)],34-12H
Application for exemption relief [Section 36 Corporation Finance],34-36CF
Application for exemption relief [Section 36 Market Regulations],34-36MR
Certain Acquisitions by Affiliates exempted from Section 9(a)(2),35-11
Application for exemption for holding companies which are Intrastate or predominately operating companies,35-2
Application for exemption for certain banks,35-3
Application for exemption [Rule 7(b)(1)],35-7B
Statement on proposed transaction where no application is prescribed [Rule 20(e)],35-APP
"Certificate, terms and conditions [Rule 24]",35-CERT
Application [Rule 10B-2],39-10B2
Application for exemption from certain provisions of the Trust Indenture Act of 1939,39-304C
"Application to exempt any person, registration statement, indenture security or transaction or any class or classes of persons, registration statements, indentures, securities or transactions from one or more provisions of the Act",39-304D
Application regarding conflict of interest under the Trust Indenture Act of 1939,39-310B
Statement of changes in beneficial ownership of securities,4
Certificate of accounting of securities in custody of management investment companies [Rule 17f-1],40-17F1
Certificate of accounting of securities in custody of management investment companies [Rule 17f-2],40-17F2
Fidelity Bond [Rule 17G-1(g)],40-17G
*,40-17GCS
Application to designate applicant a person not within the intent of the Investment Advisers Act of 1940,40-202A
Exemption from the Prohibition on Commission Registration,40-203A
Performance Fees exemption that would permit Investment Advisors to charge performance fees to certain types of clients or for certain transactions,40-205A
Application for performance fees exemption [Section 205],40-205E
Application for exemption [Section 206(3)],40-206A
Filing of sales literature pursuant to Rule 24b2 under the Investment Company Act of 1940,40-24B2
Copies of all Stockholder Derivative Actions filed with a court against an Investment Company or an Affiliate thereof [Section 33],40-33
Application for exemption from all provisions of The Investment Company Act of 1940 by an Employee's Investment Company,40-6B
Application for exemption and other relief [Section 6(c)],40-6C
Investment company request for extension of time to file,40-8B25
Application for deregistration [Rule O-2],40-8F-2
"Application for deregistration, abandonment of registration",40-8F-A
"Application for deregistration, business development company",40-8F-B
"Application for deregistration, liquidation",40-8F-L
"Application for deregistration, merger",40-8F-M
Investment Company Registration withdrawn by Commission Order,40-8FC
Application for exemption and other relief filed under the Investment Company Act of 1940,40-APP
"Annual report - foreign issuer [Section 13(a), 15(d)]",40-F
Applications under the Investment Company Act reviewed by Office of Insurance Products,40-OIP
Reports required to be filed by certain applicants for exemptions from the Investment Company Act of 1940,40-RPT
Registration of a Class of Securities of certain Canadian issuers [Section 12(b)],40FR12B
Registration of a Class of Securities of certain Canadian issuers [Section 12(g)],40FR12G
Prospectus [Rule 424(a)],424A
Prospectus [Rule 424(b)(1)],424B1
Prospectus [Rule 424(b)(2)],424B2
Prospectus [Rule 424(b)(3)],424B3
Prospectus [Rule 424(b)(4)],424B4
Prospectus [Rule 424(b)(5)],424B5
Prospectus [Rule 424(b)(7)],424B7
Prospectus filed pursuant to Rule 424(b)(8),424B8
*,424H
"Prospectuses and communications, business combinations",425
