name,item
Changes in control of registrant,1
Entry into a Material Definitive Agreement,1.01
Termination of a Material Definitive Agreement,1.02
Bankruptcy or Receivership,1.03
Mine Safety - Reporting of Shutdowns and Patterns of Violations,1.04
Acquisition or disposition of assets,2
Completion of Acquisition or Disposition of Assets,2.01
Results of Operations and Financial Condition,2.02
Creation of a Direct Financial Obligation or an Obligation under an Off-Balance Sheet Arrangement of a Registrant,2.03
Triggering Events That Accelerate or Increase a Direct Financial Obligation or an Obligation under an Off-Balance Sheet Arrangement,2.04
Costs Associated with Exit or Disposal Activities,2.05
Material Impairments,2.06
Bankruptcy or receivership,3
Notice of Delisting or Failure to Satisfy a Continued Listing Rule or Standard Transfer of Listing,3.01
Unregistered Sales of Equity Securities,3.02
Material Modification to Rights of Security Holders,3.03
Changes in registrant's certifying accountant,4
Changes in Registrant's Certifying Accountant,4.01
Non-Reliance on Previously Issued Financial Statements or a Related Audit Report or Completed Interim Review,4.02
Other events,5
Changes in Control of Registrant,5.01
Departure of Directors or Certain Officers Election of Directors Appointment of Certain Officers Compensatory Arrangements of Certain Officers,5.02
Amendments to Articles of Incorporation or Bylaws Change in Fiscal Year,5.03
Temporary Suspension of Trading Under Registrant's Employee Benefit Plans,5.04
"Amendment to Registrant's Code of Ethics, or Waiver of a Provision of the Code of Ethics",5.05
Change in Shell Company Status,5.06
Submission of Matters to a Vote of Security Holders,5.07
Shareholder Director Nominations,5.08
Resignations of registrant's directors,6
ABS Informational and Computational Material,6.01
Change of Servicer or Trustee,6.02
Change in Credit Enhancement or Other External Support,6.03
Failure to Make a Required Distribution,6.04
Securities Act Updating Disclosure,6.05
Financial statements and exhibits,7
Regulation FD Disclosure,7.01
Change in fiscal year,8
"Other Events (The registrant can use this Item to report events that are not specifically called for by Form 8-K, that the registrant considers to be of importance to security holders.)",8.01
Regulation FD Disclosure,9
Financial Statements and Exhibits,9.01
Amendments to the Registrant's Code of Ethics,10
Temporary Suspension of Trading Under Registrant's Employee Benefit Plans,11
Results of Operations and Financial Condition,12
Receipt of an Attorney's Written Notice Pursuant to 17 CFR 205.3(d),13
